Date,Vic_stringency,NSW_stringency
2020-01-01,0.0,0.0
2020-02-01,8.33,19.44
2020-03-01,19.44,13.89
2020-04-01,90.74,85.19
2020-05-01,90.74,85.19
2020-06-01,65.74,49.07
2020-07-01,74.07,49.07
2020-08-01,83.33,69.44
2020-09-01,90.74,50.93
2020-10-01,87.04,51.85
2020-11-01,72.22,51.85
2020-12-01,54.63,52.78
2021-01-01,51.85,66.2
2021-02-01,60.19,54.63
2021-03-01,60.19,49.07
2021-04-01,60.19,54.17
2021-05-01,47.22,46.3
2021-06-01,90.74,52.78
2021-07-01,60.19,66.2
2021-08-01,75.93,82.41
2021-09-01,91.67,90.74
2021-10-01,78.24,82.41
2021-11-01,45.69,55.53
2021-12-01,40.8,56.74
2022-01-01,34.62,47.02
2022-02-01,34.43,28.18
2022-03-01,21.08,21.77
2022-04-01,39.41,27.45
2022-05-01,21.81,22.17
2022-06-01,21.79,22.14
2022-07-01,27.01,24.07
2022-08-01,27.01,18.52
2022-09-01,27.01,18.52
2022-10-01,24.07,18.52
2022-11-01,24.07,18.52
2022-12-01,24.07,18.52
