Unemployment,,,,,,
,City of Sydney,,,Greater Sydney,New South Wales,Australia
Quarter,Unemployed people,Labour force,Unemployment rate %,Unemployment rate %,Unemployment rate %,Unemployment rate %
2025,,,,,,
September,"7,399","157,563",4.7,4.2,4.1,4.3
June,"7,114","158,207",4.5,4.2,4.1,4.2
March,"7,206","158,345",4.6,4.1,4.0,4.1
2024,,,,,,
December,"6,786","158,367",4.3,4.1,3.9,4.0
September,"7,207","159,414",4.5,4.0,3.8,4.0
June,"6,968","160,171",4.4,3.9,3.7,3.9
March,"6,228","161,970",3.8,3.9,3.5,3.8
2023,,,,,,
December,"5,812","162,319",3.6,3.7,3.3,3.7
September,"5,377","161,642",3.3,3.6,3.3,3.6
June,"5,174","161,117",3.2,3.6,3.2,3.6
March,"5,301","160,428",3.3,3.7,3.4,3.6
2022,,,,,,
December,"5,002","160,042",3.1,3.8,3.6,3.7
September,"5,282","158,487",3.3,4.2,3.9,4.0
June,"6,009","155,570",3.9,4.6,4.2,4.3
March,"6,701","154,182",4.3,5.1,4.6,4.6
2021,,,,,,
December,"7,866","152,487",5.2,5.7,5.1,5.1
September,"8,891","152,812",5.8,6.1,5.5,5.6
June,"9,852","155,443",6.3,6.6,6.0,6.2
March,"10,494","154,671",6.8,6.8,6.3,6.6
2020,,,,,,
December,"9,590","156,293",6.1,6.4,6.1,6.4
September,"7,951","155,774",5.1,5.9,5.6,6.1
June,"6,234","154,718",4.0,5.3,5.1,5.6
March,"5,285","156,533",3.4,4.8,4.6,5.2
2019,,,,,,
December,"4,802","158,125",3.0,4.7,4.5,5.2
September,"4,420","160,750",2.7,4.6,4.4,5.1
June,"4,445","162,016",2.7,4.5,4.5,5.1
March,"4,317","160,952",2.7,4.5,4.5,5.2
2018,,,,,,
December,"5,024","158,214",3.2,4.6,4.7,5.3
September,"5,734","156,911",3.7,4.6,4.8,5.4
June,"6,194","156,596",4.0,4.7,4.9,5.5
March,"6,306","156,453",4.0,4.8,4.8,5.5
2017,,,,,,
December,"6,370","156,815",4.1,4.9,4.9,5.6
September,"6,670","155,113",4.3,5.0,4.9,5.7
June,"6,056","153,589",3.9,5.0,5.0,5.7
March,"6,004","152,723",3.9,5.1,5.1,5.7
2016,,,,,,
December,"6,093","150,251",4.1,5.1,5.1,5.7
September,"5,694","148,475",3.8,5.1,5.2,5.7
June,"6,310","144,767",4.4,5.3,5.4,5.9
March,"6,176","141,451",4.4,5.3,5.5,5.9
2015,,,,,,
December,"6,145","139,981",4.4,5.3,5.8,6.1
September,"6,721","138,579",4.8,5.4,5.9,6.2
June,"6,660","138,907",4.8,5.3,5.9,6.1
March,"6,442","139,390",4.6,5.5,5.9,6.1
2014,,,,,,
December,"6,084","139,316",4.4,5.5,5.7,6.1
September,"6,095","139,664",4.4,5.6,5.7,6.0
June,"6,209","139,695",4.4,5.6,5.7,5.9
March,"6,170","138,492",4.5,5.6,5.7,5.8
2013,,,,,,
December,"6,303","138,750",4.5,5.6,5.6,5.7
September,"5,417","138,714",3.9,5.3,5.4,5.6
June,"4,474","138,788",3.2,5.1,5.2,5.4
March,"4,504","138,694",3.2,5.0,5.1,5.3
2012,,,,,,
December,"4,274","135,364",3.2,5.0,5.1,5.2
September,"4,715","130,401",3.6,5.1,5.1,5.2
June,"4,952","126,263",3.9,5.2,5.2,5.2
March,"5,097","123,140",4.1,5.2,5.2,5.1
2011,,,,,,
December,"4,762","122,552",3.9,5.1,5.2,5.1
September,"4,164","123,229",3.4,5.0,5.1,5.1
June,"4,288","122,905",3.5,4.9,5.0,5.0
March,"4,025","122,077",3.3,5.0,5.1,5.1
2010,,,,,,
December,"3,869","120,977",3.2,5.1,5.3,5.2
"Source: Australian Bureau of Statistics,Labour force surveycatalogue number 6202.0, and Department of Employment, Small Area Labour Markets. Compiled and presented in economy.id by.id (informed decisions).Please refer to specific data notes for more information",,,,,,
