Date,NSW_Unemployment_Rate,VIC_Unemployment_Rate
2016-02-01,5.6240913,6.1860829
2016-03-01,5.436768,5.9961019
2016-04-01,5.1305242,5.6762826
2016-05-01,5.0341295,5.6849195
2016-06-01,5.0348001,5.3955978
2016-07-01,5.0255037,5.7361088
2016-08-01,4.9729926,5.6036483
2016-09-01,4.7720575,5.6981936
2016-10-01,4.7592761,5.5114108
2016-11-01,4.680259,5.700743
2016-12-01,5.0341826,5.872368
2017-01-01,5.5002542,6.3471061
2017-02-01,5.6360637,6.3529111
2017-03-01,5.3356324,6.5721297
2017-04-01,4.61081,6.2488381
2017-05-01,4.6680956,5.8650873
2017-06-01,4.7040858,5.6376704
2017-07-01,4.8969009,5.9752679
2017-08-01,4.9261745,6.1524243
2017-09-01,4.5388833,5.8966631
2017-10-01,4.4836477,5.4343744
2017-11-01,4.4686133,5.1628276
2017-12-01,4.7353262,5.9659168
2018-01-01,5.5959945,6.1190023
2018-02-01,5.2448741,6.0176264
2018-03-01,5.2964431,5.5502487
2018-04-01,4.9138863,5.3307039
2018-05-01,4.8360724,4.928583
2018-06-01,4.5707516,5.2944065
2018-07-01,4.8301299,4.855428
2018-08-01,4.6841193,4.7979467
2018-09-01,4.2886989,4.4806317
2018-10-01,4.349952,4.2469388
2018-11-01,4.1160003,4.3360139
2018-12-01,4.2751483,4.0725501
2019-01-01,4.2919091,5.0314419
2019-02-01,4.6730196,5.1261183
2019-03-01,4.6335232,4.8818462
2019-04-01,4.5340938,4.9748789
2019-05-01,4.5487018,4.4592137
2019-06-01,4.5582359,4.5848621
2019-07-01,4.4543758,4.7535061
2019-08-01,4.3536104,4.936762
2019-09-01,4.4059772,4.6377503
2019-10-01,4.6899874,4.5133102
2019-11-01,4.3613098,4.2908734
2019-12-01,4.3918269,4.7560412
2020-01-01,4.8199882,5.8213934
2020-02-01,4.982252,5.7137765
2020-03-01,5.1209546,5.4208862
2020-04-01,6.2643871,6.0903101
2020-05-01,6.2775734,6.5943476
2020-06-01,6.6319396,7.0922355
2020-07-01,7.0736072,6.6903177
2020-08-01,6.4487526,7.087548
2020-09-01,6.7895698,6.5500766
2020-10-01,6.3366722,6.8340075
2020-11-01,6.0014448,6.6879498
2020-12-01,6.15731,6.3032923
2021-01-01,6.4244228,6.8833739
2021-02-01,6.0455581,6.139979
2021-03-01,5.769706,6.3605817
2021-04-01,5.4370323,5.5554138
2021-05-01,5.0274875,4.6612955
2021-06-01,5.053691,4.3135735
2021-07-01,4.5405931,4.4109096
2021-08-01,4.7099291,4.0419589
2021-09-01,4.5289064,4.63596
2021-10-01,5.3299829,5.2677426
2021-11-01,4.3802374,4.4016867
2021-12-01,3.9345501,4.1848639
2022-01-01,4.5388455,4.5068396
2022-02-01,4.0204186,4.5066702
2022-03-01,4.1345327,4.3179222
2022-04-01,3.5301773,4.3565032
2022-05-01,4.0142695,3.7098144
2022-06-01,3.340388,3.1333806
2022-07-01,3.3160594,3.0992544
2022-08-01,3.4507992,3.7772804
2022-09-01,3.3060642,3.4196621
2022-10-01,3.0067935,3.4870431
2022-11-01,3.0856096,3.4370849
2022-12-01,3.0662537,3.4499238
2023-01-01,3.4390122,4.4780994
2023-02-01,3.434574,4.0656034
2023-03-01,3.5044043,3.9188995
2023-04-01,3.4213545,4.0450609
2023-05-01,3.0523784,3.665424
2023-06-01,2.9018424,3.5039597
2023-07-01,3.2548144,3.4773673
2023-08-01,3.6092013,3.504203
2023-09-01,3.308731,3.4342524
2023-10-01,3.3806583,3.6166455
2023-11-01,3.2841261,3.7860402
2023-12-01,3.3469674,4.0161889
2024-01-01,4.4597806,4.3688295
2024-02-01,3.882713,4.1760112
2024-03-01,4.0230602,4.3378196
2024-04-01,3.9819708,4.4780882
2024-05-01,3.7176082,4.3450297
2024-06-01,3.8446134,4.2712524
2024-07-01,3.9038792,4.313922
2024-08-01,4.0794536,4.3710714
2024-09-01,3.7183889,4.2898757
2024-10-01,3.9065149,4.2626865
2024-11-01,3.69059,3.9266992
2024-12-01,3.5828046,4.3931032
2025-01-01,4.3571771,5.1851125
2025-02-01,4.3119074,4.9833118
2025-03-01,4.4177547,4.5758081
2025-04-01,3.8522731,4.394461
2025-05-01,4.0770662,4.3125529
2025-06-01,4.3315324,4.3069634
2025-07-01,3.9315713,4.3761884
2025-08-01,4.259923,4.2360307
2025-09-01,4.1669031,4.6762303
2025-10-01,4.1497248,4.4208992
2025-11-01,3.59389,4.5059508
2025-12-01,3.6882553,4.4985906
2026-01-01,4.4746144,4.6702201
2026-02-01,4.3395842,5.0434195
